,DK2_scaled
127,0.0013659625876682013
128,0.0014441163964816226
129,0.0014558740491349691
130,0.0014786977278149946
131,0.0014676317017883157
132,0.0014648651952816458
133,0.0014786977278149946
134,0.001466940075161648
135,0.0014385833834682832
136,0.0015049795396283577
137,0.001611490040135144
138,0.0015610012963884205
139,0.0014607154355216411
140,0.0013306896297081618
141,0.0012566855806547452
142,0.0011446420671346194
143,0.0010339818068678284
144,0.0009703521572144236
145,0.0009357708258810514
146,0.0009122555205743583
147,0.0009122555205743583
148,0.0009295461862410443
149,0.001015999514574475
150,0.0011439504405079519
151,0.0013355310160948338
152,0.0014192178379215945
153,0.0014372001302149482
154,0.0014427331432282878
155,0.0014254424775616014
156,0.0014081518118949155
157,0.0013970857858682363
158,0.0013970857858682363
159,0.001396394159241569
160,0.0014780061011883273
161,0.0016059570271218045
162,0.0015589264165084182
163,0.001466940075161648
164,0.0013625044545348642
165,0.0012684432333080918
166,0.0011460253203879542
167,0.0010028586086677936
168,0.0009157136537076956
169,0.0008693746697209767
170,0.0008610751502009674
171,0.0008811323223743234
172,0.000885282082134328
173,0.000946145225281063
174,0.001100377963027903
175,0.0013023329380147965
176,0.0013694207208015386
177,0.0013645793344148666
178,0.001390169519601562
179,0.0013832532533348877
180,0.0013777202403215478
181,0.00138256162670822
182,0.0013708039740548735
183,0.001321698483561485
184,0.0014268257308149364
185,0.0015734505756684345
186,0.0015326446046950552
187,0.0014316671172016084
188,0.0013258482433214898
189,0.0012338619019747197
190,0.0011066026026679099
191,0.000978651676734433
192,0.0008908150951476675
193,0.0008396347247742767
194,0.0008341017117609372
195,0.0008327184585076023
196,0.0008555421371876279
197,0.0009219382933477025
198,0.0010913868168812263
199,0.0013085575776548035
200,0.0013957025326149016
201,0.0014468829029882925
202,0.0014918386337216762
203,0.001480772607694997
204,0.001510512552641697
205,0.001518120445535039
206,0.0014952967668550134
207,0.0014586405556416388
208,0.0015077460461350274
209,0.0015976575076017952
210,0.0015547766567484136
211,0.001479389354441662
212,0.0013929360261082317
213,0.001312707337414808
214,0.001204813583654687
215,0.0011086774825479124
216,0.0010360566867478307
217,0.0009841846897477725
218,0.0009489117317877328
219,0.0009537531181744049
220,0.0009675856507077538
221,0.0010305236737344911
222,0.0011847564114813311
223,0.001390169519601562
224,0.0014531075426282994
225,0.0014434247698549552
226,0.0014835391142016667
227,0.0014703982082949854
228,0.0014690149550416504
229,0.0014385833834682832
230,0.0014233675976815991
231,0.0014171429580415922
232,0.0014876888739616715
233,0.0015976575076017952
234,0.0015527017768684113
235,0.0014441163964816226
236,0.0013106324575348058
237,0.001215879609681366
238,0.0011232016417079287
239,0.0010180743944544772
240,0.0009634358909477492
241,0.0009502949850410677
242,0.0009074141341876862
243,0.0008998062412943443
244,0.0009025727478010141
245,0.0009170969069610304
246,0.0009392289590143886
247,0.0010325985536144935
248,0.0011577829730413007
249,0.0012677516066814242
250,0.001309249204281471
251,0.0013299980030814945
252,0.0013286147498281595
253,0.001357663068148192
254,0.0013424472823615084
255,0.0012954166717481222
256,0.001363887707788199
257,0.0014662484485349807
258,0.0014330503704549436
259,0.0013486719220015154
260,0.0012843506457214432
261,0.0012262540090813778
262,0.0011584745996679681
263,0.001098994709774568
264,0.0010180743944544772
265,0.0009565196246810746
266,0.0009184801602143653
267,0.0009108722673210235
268,0.0009094890140676885
269,0.0009413038388943909
270,0.0009807265566144352
271,0.001049197592654512
272,0.0011162853754412543
273,0.001209654970041359
274,0.001248386061134736
275,0.0012705181131880943
276,0.0012629102202947522
277,0.001254610700774743
278,0.001235936781854722
279,0.0012075800901613567
280,0.0013085575776548035
281,0.0014766228479349923
282,0.0014641735686549784
283,0.001370112347428206
284,0.001279509259334771
285,0.0011840647848546638
286,0.001094153323387896
287,0.0009980172222811214
288,0.0009343875726277166
289,0.0009011894945476791
290,0.0008928899750276698
291,0.0009067225075610188
292,0.0009309294394943792
293,0.0010028586086677936
294,0.0011882145446146684
295,0.0013998522923749062
296,0.0014641735686549784
297,0.0015029046597483553
298,0.0015416357508417323
299,0.0015513185236150763
300,0.0015437106307217346
301,0.0015381776177083948
302,0.0015215785786683762
303,0.0015091292993883623
304,0.0015630761762684229
305,0.0016253225726684927
306,0.0015803668419351088
307,0.00150705441950836
308,0.0013929360261082317
309,0.0012919585386147849
310,0.001162624359427973
311,0.0010353650601211632
312,0.0009502949850410677
313,0.0009039560010543489
314,0.0008749076827343163
315,0.0008811323223743234
316,0.0009129471472010258
317,0.0009724270370944259
318,0.0011481002002679565
319,0.0013272314965748246
320,0.0014123015716549202
321,0.0014081518118949155
322,0.0014323587438282758
323,0.0014268257308149364
324,0.0014282089840682711
325,0.0014261341041882688
326,0.0014102266917749178
327,0.0013929360261082317
328,0.001463481942028311
329,0.001572758949041767
330,0.0015153539390283693
331,0.0014233675976815991
332,0.0013230817368148197
333,0.0012331702753480523
334,0.001126659774841266
335,0.0010153078879478075
336,0.0009316210661210467
337,0.0008811323223743234
338,0.0008679914164676419
339,0.0008700662963476442
340,0.0009081057608143537
341,0.000964819144201084
342,0.0011425671872546171
343,0.0013479802953748478
344,0.0014164513314149248
345,0.001429592237321606
346,0.0014579489290149714
347,0.0014503410361216295
348,0.0014468829029882925
349,0.0014441163964816226
350,0.0014136848249082549
351,0.0013984690391215713
352,0.001485613994081669
353,0.001605265400495137
354,0.0015603096697617532
355,0.001466940075161648
356,0.001346597042121513
357,0.0012587604605347475
358,0.0011460253203879542
359,0.0010360566867478307
360,0.00095236986492107
361,0.0009046476276810164
362,0.0008998062412943443
363,0.0009170969069610304
364,0.0009357708258810514
365,0.001008391621681133
366,0.0011875229179880008
367,0.0014081518118949155
368,0.0014890721272150065
369,0.0015015214064950204
370,0.00150428791300169
371,0.0015063627928816924
372,0.0015160455656550366
373,0.0015001381532416854
374,0.0014918386337216762
375,0.001494605140228346
376,0.0015755254555484368
377,0.0016806527028018882
378,0.001633622092188502
379,0.001543019004095067
380,0.0014392750100949505
381,0.0013493635486281827
382,0.0012338619019747197
383,0.0011149021221879194
384,0.0010471227127745097
385,0.0009717354104677585
386,0.0009343875726277166
387,0.0009281629329877095
388,0.0009558279980544073
389,0.0010111581281878029
390,0.0011902894244946707
391,0.0013970857858682363
392,0.0014766228479349923
393,0.0014766228479349923
394,0.0014952967668550134
395,0.0014918386337216762
396,0.001480772607694997
397,0.00147454796805499
398,0.0014302838639482735
399,0.0014212927178015968
400,0.0015001381532416854
401,0.0016135649200151464
402,0.001585208228321781
403,0.001468323328414983
404,0.0013424472823615084
405,0.0012573772072814126
406,0.0011633159860546406
407,0.0010782459109745447
408,0.0009924842092677818
409,0.0009392289590143886
410,0.0009288545596143769
411,0.0009219382933477025
412,0.0009205550400943676
413,0.0009316210661210467
414,0.0009917925826411144
415,0.001083087297361217
